:LABEL,id,ifc_type,profile_type,x_dim,y_dim
IfcRectangleProfileDef,#8926,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8933,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8940,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8947,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8954,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01250000000000041
IfcRectangleProfileDef,#8961,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#9391,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9396,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9401,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9406,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9411,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9416,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9421,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9426,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9431,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9436,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9441,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9446,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9451,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9456,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02500000000000081
IfcRectangleProfileDef,#9461,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
