:LABEL,id,ifc_type,x,y,z
IfcCartesianPoint,#394,IFCCARTESIANPOINT,0.1930000000000103,0.0,0
IfcCartesianPoint,#395,IFCCARTESIANPOINT,0.1930000000000237,1.456000000000001,0
IfcCartesianPoint,#396,IFCCARTESIANPOINT,-1.97800000000001,1.456000000000021,0
IfcCartesianPoint,#397,IFCCARTESIANPOINT,-1.97800000000001,0.0,0
IfcCartesianPoint,#398,IFCCARTESIANPOINT,-0.7619999999999987,0.0,0
IfcCartesianPoint,#404,IFCCARTESIANPOINT,6.288000000000003,-7.799999999999995,0
IfcCartesianPoint,#405,IFCCARTESIANPOINT,4.694000000000004,-7.79999999999999,0
IfcCartesianPoint,#411,IFCCARTESIANPOINT,4.694000000000004,-7.79999999999999,0
IfcCartesianPoint,#412,IFCCARTESIANPOINT,4.693999999999999,-10.29400000000002,0
IfcCartesianPoint,#418,IFCCARTESIANPOINT,4.693999999999999,-10.29400000000002,0
IfcCartesianPoint,#419,IFCCARTESIANPOINT,4.693999999999999,-10.30800000000003,0
IfcCartesianPoint,#425,IFCCARTESIANPOINT,4.693999999999999,-10.30800000000003,0
IfcCartesianPoint,#426,IFCCARTESIANPOINT,6.287999999999999,-10.30800000000003,0
IfcCartesianPoint,#432,IFCCARTESIANPOINT,6.288,-10.30800000000003,0
IfcCartesianPoint,#433,IFCCARTESIANPOINT,6.288000000000003,-7.799999999999995,0
IfcCartesianPoint,#439,IFCCARTESIANPOINT,6.288,-10.12900000000002,0
IfcCartesianPoint,#440,IFCCARTESIANPOINT,6.288000000000001,-9.215000000000018,0
IfcCartesianPoint,#488,IFCCARTESIANPOINT,-1.696799999999986,0.141889400000012,0
IfcCartesianPoint,#489,IFCCARTESIANPOINT,-1.6968,-5.416110599999985,0
IfcCartesianPoint,#490,IFCCARTESIANPOINT,0.3621999999999757,-5.416110599999985,0
IfcCartesianPoint,#491,IFCCARTESIANPOINT,0.3621999999999856,-1.833110599999994,0
IfcCartesianPoint,#492,IFCCARTESIANPOINT,0.4861999999999856,-1.833110599999995,0
IfcCartesianPoint,#493,IFCCARTESIANPOINT,0.4861999999999885,-0.6331105999999986,0
IfcCartesianPoint,#494,IFCCARTESIANPOINT,0.4601999999999923,-0.6331105999999965,0
IfcCartesianPoint,#495,IFCCARTESIANPOINT,0.4601999999999929,-0.4953409999999991,0
IfcCartesianPoint,#496,IFCCARTESIANPOINT,0.4601999999999969,0.9718893999999721,0
IfcCartesianPoint,#497,IFCCARTESIANPOINT,0.3361999999999992,0.9718893999999727,0
IfcCartesianPoint,#498,IFCCARTESIANPOINT,0.3362000000000011,1.658889399999979,0
IfcCartesianPoint,#499,IFCCARTESIANPOINT,0.3362000000000011,1.91388939999999,0
IfcCartesianPoint,#500,IFCCARTESIANPOINT,0.3362000000000032,2.675889399999989,0
IfcCartesianPoint,#501,IFCCARTESIANPOINT,0.3362000000000074,3.891889400000012,0
IfcCartesianPoint,#502,IFCCARTESIANPOINT,-0.68239999999997,3.891889400000013,0
IfcCartesianPoint,#503,IFCCARTESIANPOINT,-0.6823999999999797,0.141889400000012,0
IfcCartesianPoint,#504,IFCCARTESIANPOINT,-1.696799999999986,0.141889400000012,0
IfcCartesianPoint,#507,IFCCARTESIANPOINT,6.686199999999994,-11.96688940000001,0.01900000000000001
IfcCartesianPoint,#518,IFCCARTESIANPOINT,6.225999999999999,-12.46223040000001,2.6
