:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#6669,IFCPROPERTYSINGLEVALUE,Function,1,Function,
IfcPropertySingleValue,#6670,IFCPROPERTYSINGLEVALUE,Door Material,,Door Material,Door - Panel
IfcPropertySingleValue,#6671,IFCPROPERTYSINGLEVALUE,Frame Material,,Frame Material,Door - Frame
IfcPropertySingleValue,#6672,IFCPROPERTYSINGLEVALUE,Height,2.01,Height,
IfcPropertySingleValue,#6673,IFCPROPERTYSINGLEVALUE,Trim Projection Ext,0.025,Trim Projection Ext,
IfcPropertySingleValue,#6674,IFCPROPERTYSINGLEVALUE,Trim Projection Int,0.025,Trim Projection Int,
IfcPropertySingleValue,#6675,IFCPROPERTYSINGLEVALUE,Trim Width,0.076,Trim Width,
IfcPropertySingleValue,#6676,IFCPROPERTYSINGLEVALUE,Width,1.25,Width,
IfcPropertySingleValue,#6677,IFCPROPERTYSINGLEVALUE,Manufacturer,,Manufacturer,Manufacturer
IfcPropertySingleValue,#6678,IFCPROPERTYSINGLEVALUE,Assembly Description,,Assembly Description,
IfcPropertySingleValue,#6679,IFCPROPERTYSINGLEVALUE,Assembly Code,,Assembly Code,
IfcPropertySingleValue,#6680,IFCPROPERTYSINGLEVALUE,Type Mark,,Type Mark,33
IfcPropertySingleValue,#6681,IFCPROPERTYSINGLEVALUE,Construction Type,,Construction Type,Construction Type
IfcPropertySingleValue,#6682,IFCPROPERTYSINGLEVALUE,Fire Rating,,Fire Rating,Fire Rating
IfcPropertySingleValue,#6683,IFCPROPERTYSINGLEVALUE,AccessibilityPerformance,,AccessibilityPerformance,AccessibilityPerformance
IfcPropertySingleValue,#6684,IFCPROPERTYSINGLEVALUE,CodePerformance,,CodePerformance,CodePerformance
IfcPropertySingleValue,#6685,IFCPROPERTYSINGLEVALUE,IsFireExit,,IsFireExit,IsFireExit
IfcPropertySingleValue,#6686,IFCPROPERTYSINGLEVALUE,ConstructionType,,ConstructionType,ConstructionType
IfcPropertySingleValue,#6687,IFCPROPERTYSINGLEVALUE,GlazingAreaFraction,,GlazingAreaFraction,GlazingAreaFraction
IfcPropertySingleValue,#6688,IFCPROPERTYSINGLEVALUE,OperationType,,OperationType,OperationType
IfcPropertySingleValue,#6689,IFCPROPERTYSINGLEVALUE,Area,,Area,Area
IfcPropertySingleValue,#6690,IFCPROPERTYSINGLEVALUE,Color,,Color,Color
IfcPropertySingleValue,#6691,IFCPROPERTYSINGLEVALUE,Constituents,,Constituents,Constituents
IfcPropertySingleValue,#6692,IFCPROPERTYSINGLEVALUE,Features,,Features,Features
IfcPropertySingleValue,#6693,IFCPROPERTYSINGLEVALUE,Finish,,Finish,Finish
IfcPropertySingleValue,#6694,IFCPROPERTYSINGLEVALUE,Grade,,Grade,Grade
IfcPropertySingleValue,#6695,IFCPROPERTYSINGLEVALUE,Material,,Material,Material
IfcPropertySingleValue,#6696,IFCPROPERTYSINGLEVALUE,ModelReference,,ModelReference,ModelReference
IfcPropertySingleValue,#6697,IFCPROPERTYSINGLEVALUE,NominalHeight,,NominalHeight,NominalHeight
IfcPropertySingleValue,#6698,IFCPROPERTYSINGLEVALUE,NominalLength,,NominalLength,NominalLength
IfcPropertySingleValue,#6699,IFCPROPERTYSINGLEVALUE,NominalWidth,,NominalWidth,NominalWidth
IfcPropertySingleValue,#6700,IFCPROPERTYSINGLEVALUE,ProductionYear,,ProductionYear,ProductionYear
IfcPropertySingleValue,#6701,IFCPROPERTYSINGLEVALUE,Reference,,Reference,Reference
IfcPropertySingleValue,#6702,IFCPROPERTYSINGLEVALUE,Shape,,Shape,Shape
IfcPropertySingleValue,#6703,IFCPROPERTYSINGLEVALUE,Size,,Size,Size
IfcPropertySingleValue,#6704,IFCPROPERTYSINGLEVALUE,SustainabilityPerformance,,SustainabilityPerformance,SustainabilityPerformance
IfcPropertySingleValue,#6705,IFCPROPERTYSINGLEVALUE,WarrantyDescription,,WarrantyDescription,WarrantyDescription
IfcPropertySingleValue,#6706,IFCPROPERTYSINGLEVALUE,WarrantyDurationLabor,,WarrantyDurationLabor,WarrantyDurationLabor
IfcPropertySingleValue,#6707,IFCPROPERTYSINGLEVALUE,WarrantyDurationParts,,WarrantyDurationParts,WarrantyDurationParts
IfcPropertySingleValue,#6708,IFCPROPERTYSINGLEVALUE,WarrantyGuarantorLabor,,WarrantyGuarantorLabor,WarrantyGuarantorLabor
IfcPropertySingleValue,#6709,IFCPROPERTYSINGLEVALUE,WarrantyGuarantorParts,,WarrantyGuarantorParts,WarrantyGuarantorParts
IfcPropertySingleValue,#6710,IFCPROPERTYSINGLEVALUE,ExpectedLife,,ExpectedLife,ExpectedLife
IfcPropertySingleValue,#6711,IFCPROPERTYSINGLEVALUE,ReplacementCost,,ReplacementCost,ReplacementCost
IfcPropertySingleValue,#6712,IFCPROPERTYSINGLEVALUE,AssetAccountingType,,AssetAccountingType,FIXED
IfcPropertySingleValue,#6713,IFCPROPERTYSINGLEVALUE,ModelLabel,,ModelLabel,ModelLabel
IfcPropertySingleValue,#6714,IFCPROPERTYSINGLEVALUE,OmniClass Number,,OmniClass Number,23.30.10.00
IfcPropertySingleValue,#6715,IFCPROPERTYSINGLEVALUE,OmniClass Title,,OmniClass Title,Doors
IfcPropertySingleValue,#6758,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Single-Flush:1250mm x 2010mm
IfcPropertySingleValue,#6759,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,Fire Rating
IfcPropertySingleValue,#6762,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#6763,IFCPROPERTYSINGLEVALUE,Head Height,2.01,Head Height,
IfcPropertySingleValue,#6764,IFCPROPERTYSINGLEVALUE,Mark,,Mark,B101
IfcPropertySingleValue,#6765,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#6766,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#6767,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#6768,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#6769,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#6770,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#6771,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#6922,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Fixed:750mm x 2200mm
IfcPropertySingleValue,#6923,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,FireRating
IfcPropertySingleValue,#6926,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#6927,IFCPROPERTYSINGLEVALUE,Sill Height,0.1,Sill Height,
IfcPropertySingleValue,#6928,IFCPROPERTYSINGLEVALUE,Head Height,2.3,Head Height,
IfcPropertySingleValue,#6929,IFCPROPERTYSINGLEVALUE,Mark,,Mark,12
IfcPropertySingleValue,#6930,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#6931,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#6932,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#6933,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#6934,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#6935,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#6936,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#6937,IFCPROPERTYSINGLEVALUE,Frame Exterior Material,,Frame Exterior Material,Sash
IfcPropertySingleValue,#6938,IFCPROPERTYSINGLEVALUE,Frame Interior Material,,Frame Interior Material,Sash
IfcPropertySingleValue,#6939,IFCPROPERTYSINGLEVALUE,Glass Pane Material,,Glass Pane Material,Glass
IfcPropertySingleValue,#6940,IFCPROPERTYSINGLEVALUE,Height,2.2,Height,
